"TIME","GEO","SECTPERF","UNIT","Value","Flag and Footnotes"
"2009","European Union - 28 countries","All sectors","Million euro","237,484.52",""
"2009","European Union - 28 countries","All sectors","Euro per inhabitant","473",""
"2009","European Union - 28 countries","All sectors","Million units of national currency",":",""
"2009","European Union - 28 countries","All sectors","Million purchasing power standards (PPS)","225,961.702",""
"2009","European Union - 28 countries","All sectors","Million purchasing power standards (PPS) at 2005 prices","220,434.826",""
"2009","European Union - 28 countries","Business enterprise sector","Million euro","146,630.06",""
"2009","European Union - 28 countries","Business enterprise sector","Euro per inhabitant","292",""
"2009","European Union - 28 countries","Business enterprise sector","Million units of national currency",":",""
"2009","European Union - 28 countries","Business enterprise sector","Million purchasing power standards (PPS)","137,859.628",""
"2009","European Union - 28 countries","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","134,643.523",""
"2009","European Union - 28 countries","Government sector","Million euro","31,605.593",""
"2009","European Union - 28 countries","Government sector","Euro per inhabitant","62.9",""
"2009","European Union - 28 countries","Government sector","Million units of national currency",":",""
"2009","European Union - 28 countries","Government sector","Million purchasing power standards (PPS)","31,201.536",""
"2009","European Union - 28 countries","Government sector","Million purchasing power standards (PPS) at 2005 prices","30,373.604",""
"2009","European Union - 28 countries","Higher education sector","Million euro","56,879.996",""
"2009","European Union - 28 countries","Higher education sector","Euro per inhabitant","113.3",""
"2009","European Union - 28 countries","Higher education sector","Million units of national currency",":",""
"2009","European Union - 28 countries","Higher education sector","Million purchasing power standards (PPS)","54,591.271",""
"2009","European Union - 28 countries","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","53,172.2",""
"2009","European Union - 28 countries","Private non-profit sector","Million euro","2,368.872","e"
"2009","European Union - 28 countries","Private non-profit sector","Euro per inhabitant","4.7","e"
"2009","European Union - 28 countries","Private non-profit sector","Million units of national currency",":",""
"2009","European Union - 28 countries","Private non-profit sector","Million purchasing power standards (PPS)","2,309.267","e"
"2009","European Union - 28 countries","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","2,245.5","e"
"2009","Euro area (19 countries)","All sectors","Million euro","184,496.269",""
"2009","Euro area (19 countries)","All sectors","Euro per inhabitant","551.6",""
"2009","Euro area (19 countries)","All sectors","Million units of national currency",":",""
"2009","Euro area (19 countries)","All sectors","Million purchasing power standards (PPS)","173,001.378",""
"2009","Euro area (19 countries)","All sectors","Million purchasing power standards (PPS) at 2005 prices","168,511.587",""
"2009","Euro area (19 countries)","Business enterprise sector","Million euro","113,868.455",""
"2009","Euro area (19 countries)","Business enterprise sector","Euro per inhabitant","340.4",""
"2009","Euro area (19 countries)","Business enterprise sector","Million units of national currency",":",""
"2009","Euro area (19 countries)","Business enterprise sector","Million purchasing power standards (PPS)","106,187.055",""
"2009","Euro area (19 countries)","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","103,597.636",""
"2009","Euro area (19 countries)","Government sector","Million euro","26,531.523",""
"2009","Euro area (19 countries)","Government sector","Euro per inhabitant","79.3",""
"2009","Euro area (19 countries)","Government sector","Million units of national currency",":",""
"2009","Euro area (19 countries)","Government sector","Million purchasing power standards (PPS)","25,049.709",""
"2009","Euro area (19 countries)","Government sector","Million purchasing power standards (PPS) at 2005 prices","24,387.308",""
"2009","Euro area (19 countries)","Higher education sector","Million euro","42,501.151",""
"2009","Euro area (19 countries)","Higher education sector","Euro per inhabitant","127.1",""
"2009","Euro area (19 countries)","Higher education sector","Million units of national currency",":",""
"2009","Euro area (19 countries)","Higher education sector","Million purchasing power standards (PPS)","40,197.448",""
"2009","Euro area (19 countries)","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","39,031.641",""
"2009","Euro area (19 countries)","Private non-profit sector","Million euro","1,595.139","e"
"2009","Euro area (19 countries)","Private non-profit sector","Euro per inhabitant","4.8","e"
"2009","Euro area (19 countries)","Private non-profit sector","Million units of national currency",":",""
"2009","Euro area (19 countries)","Private non-profit sector","Million purchasing power standards (PPS)","1,567.165","e"
"2009","Euro area (19 countries)","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","1,495.002","e"
"2009","Belgium","All sectors","Million euro","6,924.591",""
"2009","Belgium","All sectors","Euro per inhabitant","644",""
"2009","Belgium","All sectors","Million units of national currency","6,924.591",""
"2009","Belgium","All sectors","Million purchasing power standards (PPS)","6,195.948",""
"2009","Belgium","All sectors","Million purchasing power standards (PPS) at 2005 prices","6,179.892",""
"2009","Belgium","Business enterprise sector","Million euro","4,574.767",""
"2009","Belgium","Business enterprise sector","Euro per inhabitant","425.4",""
"2009","Belgium","Business enterprise sector","Million units of national currency","4,574.767",""
"2009","Belgium","Business enterprise sector","Million purchasing power standards (PPS)","4,093.385",""
"2009","Belgium","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","4,082.778",""
"2009","Belgium","Government sector","Million euro","637.873",""
"2009","Belgium","Government sector","Euro per inhabitant","59.3",""
"2009","Belgium","Government sector","Million units of national currency","637.873",""
"2009","Belgium","Government sector","Million purchasing power standards (PPS)","570.753",""
