Sucursal,Cajero,ID_Transaccion,Transaccion,Tiempo_Servicio_seg,Satisfaccion,Monto
62,4820,2,Cobro/Pago (Cta externa),41,Muy Bueno,4571
62,4820,2,Cobro/Pago (Cta externa),41,Malo,2838
62,4820,2,Cobro/Pago (Cta externa),41,Regular,4021
62,4820,2,Cobro/Pago (Cta externa),41,Regular,2816
62,4820,2,Cobro/Pago (Cta externa),41,Muy Bueno,2538
62,4820,2,Cobro/Pago (Cta externa),42,Bueno,1316
62,4820,2,Cobro/Pago (Cta externa),42,Regular,6720
62,4820,2,Cobro/Pago (Cta externa),42,Bueno,1531
62,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,2378
62,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,3109
62,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,1585
62,4820,2,Cobro/Pago (Cta externa),42,Bueno,4322
62,4820,2,Cobro/Pago (Cta externa),42,Malo,2659
62,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,4739
62,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,4675
62,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,5879
62,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,4173
62,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,2680
62,4820,2,Cobro/Pago (Cta externa),43,Muy Malo,4432
62,4820,2,Cobro/Pago (Cta externa),43,Malo,383
62,4820,2,Cobro/Pago (Cta externa),43,Bueno,2724
62,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,3649
62,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,1992
62,4820,2,Cobro/Pago (Cta externa),43,Bueno,611
62,4820,2,Cobro/Pago (Cta externa),43,Bueno,6720
62,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,5603
62,4820,2,Cobro/Pago (Cta externa),43,Malo,6453
62,4820,2,Cobro/Pago (Cta externa),43,Malo,2375
62,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,494
62,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,6481
62,4820,2,Cobro/Pago (Cta externa),43,Regular,6426
62,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,3173
62,4820,2,Cobro/Pago (Cta externa),43,Malo,3777
62,4820,2,Cobro/Pago (Cta externa),43,Regular,4480
62,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,4677
62,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,1336
62,4820,2,Cobro/Pago (Cta externa),43,Malo,916
62,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,6463
62,4820,2,Cobro/Pago (Cta externa),43,Regular,4740
62,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,2003
62,4820,2,Cobro/Pago (Cta externa),44,Bueno,2433
62,4820,2,Cobro/Pago (Cta externa),44,Muy Bueno,5002
62,4820,2,Cobro/Pago (Cta externa),44,Muy Bueno,6865
62,4820,2,Cobro/Pago (Cta externa),44,Regular,4203
62,4820,2,Cobro/Pago (Cta externa),44,Muy Bueno,1486
62,4820,2,Cobro/Pago (Cta externa),44,Muy Bueno,533
62,4820,2,Cobro/Pago (Cta externa),44,Regular,2168
62,4820,2,Cobro/Pago (Cta externa),44,Muy Bueno,3991
62,4820,2,Cobro/Pago (Cta externa),44,Regular,5569
62,4820,2,Cobro/Pago (Cta externa),44,Bueno,5199
62,4820,2,Cobro/Pago (Cta externa),44,Bueno,6415
62,4820,2,Cobro/Pago (Cta externa),44,Malo,3914
62,4820,2,Cobro/Pago (Cta externa),44,Malo,5302
62,4820,2,Cobro/Pago (Cta externa),44,Bueno,603
62,4820,2,Cobro/Pago (Cta externa),44,Regular,4155
62,4820,2,Cobro/Pago (Cta externa),44,Muy Malo,2790
62,4820,2,Cobro/Pago (Cta externa),44,Bueno,396
62,4820,2,Cobro/Pago (Cta externa),44,Bueno,993
62,4820,2,Cobro/Pago (Cta externa),44,Regular,4189
62,4820,2,Cobro/Pago (Cta externa),45,Malo,5964
62,4820,2,Cobro/Pago (Cta externa),45,Bueno,719
62,4820,2,Cobro/Pago (Cta externa),45,Muy Malo,5131
62,4820,2,Cobro/Pago (Cta externa),45,Muy Bueno,1208
62,4820,2,Cobro/Pago (Cta externa),45,Muy Malo,2830
62,4820,2,Cobro/Pago (Cta externa),45,Regular,291
62,4820,2,Cobro/Pago (Cta externa),45,Malo,5033
62,4820,2,Cobro/Pago (Cta externa),45,Malo,2719
62,4820,2,Cobro/Pago (Cta externa),45,Muy Bueno,2117
62,4820,2,Cobro/Pago (Cta externa),45,Bueno,5422
62,4820,2,Cobro/Pago (Cta externa),45,Regular,3213
62,4820,2,Cobro/Pago (Cta externa),45,Muy Bueno,4785
62,4820,2,Cobro/Pago (Cta externa),45,Muy Bueno,2568
62,4820,2,Cobro/Pago (Cta externa),45,Muy Bueno,6777
62,4820,2,Cobro/Pago (Cta externa),45,Muy Malo,2275
62,4820,2,Cobro/Pago (Cta externa),45,Bueno,5402
62,4820,2,Cobro/Pago (Cta externa),45,Muy Bueno,2592
62,4820,2,Cobro/Pago (Cta externa),45,Regular,2523
62,4820,2,Cobro/Pago (Cta externa),45,Bueno,3340
62,4820,2,Cobro/Pago (Cta externa),45,Regular,5046
62,4820,2,Cobro/Pago (Cta externa),45,Bueno,6496
62,4820,2,Cobro/Pago (Cta externa),46,Malo,285
62,4820,2,Cobro/Pago (Cta externa),46,Malo,28
62,4820,2,Cobro/Pago (Cta externa),46,Bueno,6427
62,4820,2,Cobro/Pago (Cta externa),46,Bueno,5738
62,4820,2,Cobro/Pago (Cta externa),46,Malo,1479
62,4820,2,Cobro/Pago (Cta externa),46,Malo,4411
62,4820,2,Cobro/Pago (Cta externa),46,Regular,5333
62,4820,2,Cobro/Pago (Cta externa),46,Regular,639
62,4820,2,Cobro/Pago (Cta externa),46,Muy Malo,5119
62,4820,2,Cobro/Pago (Cta externa),46,Malo,960
62,4820,2,Cobro/Pago (Cta externa),46,Bueno,980
62,4820,2,Cobro/Pago (Cta externa),46,Muy Malo,2570
62,4820,2,Cobro/Pago (Cta externa),47,Regular,6164
62,4820,2,Cobro/Pago (Cta externa),47,Muy Bueno,674
62,4820,2,Cobro/Pago (Cta externa),47,Regular,5038
62,4820,2,Cobro/Pago (Cta externa),47,Muy Malo,6639
62,4820,2,Cobro/Pago (Cta externa),48,Muy Bueno,5431
62,4820,2,Cobro/Pago (Cta externa),48,Malo,5645
62,4820,2,Cobro/Pago (Cta externa),48,Muy Bueno,693
62,4820,2,Cobro/Pago (Cta externa),48,Bueno,4775
62,4820,2,Cobro/Pago (Cta externa),48,Regular,1279
62,4820,2,Cobro/Pago (Cta externa),48,Bueno,6499
62,4820,2,Cobro/Pago (Cta externa),48,Muy Bueno,5736
62,4820,2,Cobro/Pago (Cta externa),48,Malo,5828
62,4820,2,Cobro/Pago (Cta externa),49,Regular,1803
62,4820,2,Cobro/Pago (Cta externa),49,Muy Bueno,2680
62,4820,2,Cobro/Pago (Cta externa),49,Malo,6215
62,4820,2,Cobro/Pago (Cta externa),49,Regular,2857
62,4820,2,Cobro/Pago (Cta externa),49,Malo,4381
62,4820,2,Cobro/Pago (Cta externa),50,Regular,890
62,4820,2,Cobro/Pago (Cta externa),50,Regular,5653
62,4820,2,Cobro/Pago (Cta externa),50,Malo,4794
62,4820,2,Cobro/Pago (Cta externa),51,Muy Bueno,2601
62,4820,2,Cobro/Pago (Cta externa),51,Malo,1884
62,4820,2,Cobro/Pago (Cta externa),51,Malo,6726
62,4820,2,Cobro/Pago (Cta externa),53,Muy Bueno,1097
62,4820,2,Cobro/Pago (Cta externa),54,Malo,4903
62,4820,2,Cobro/Pago (Cta externa),54,Muy Bueno,1594
62,4820,2,Cobro/Pago (Cta externa),54,Malo,6100
62,4820,2,Cobro/Pago (Cta externa),55,Bueno,4472
62,4820,2,Cobro/Pago (Cta externa),56,Muy Bueno,4318
62,4820,2,Cobro/Pago (Cta externa),56,Muy Bueno,3495
62,4820,2,Cobro/Pago (Cta externa),56,Muy Malo,2003
62,4820,2,Cobro/Pago (Cta externa),57,Malo,4954
62,4820,2,Cobro/Pago (Cta externa),57,Bueno,605
62,4820,2,Cobro/Pago (Cta externa),58,Malo,2637
62,4820,2,Cobro/Pago (Cta externa),58,Regular,6832
62,4820,2,Cobro/Pago (Cta externa),58,Muy Bueno,2413
62,4820,2,Cobro/Pago (Cta externa),58,Regular,570
62,4820,2,Cobro/Pago (Cta externa),59,Bueno,5414
62,4820,2,Cobro/Pago (Cta externa),59,Bueno,3041
62,4820,2,Cobro/Pago (Cta externa),59,Malo,5380
62,4820,2,Cobro/Pago (Cta externa),59,Regular,1190
62,4820,2,Cobro/Pago (Cta externa),59,Muy Malo,6840
62,4820,2,Cobro/Pago (Cta externa),60,Bueno,56
62,4820,2,Cobro/Pago (Cta externa),61,Bueno,388
62,4820,2,Cobro/Pago (Cta externa),63,Muy Malo,999
62,4820,2,Cobro/Pago (Cta externa),63,Muy Bueno,985
62,4820,2,Cobro/Pago (Cta externa),63,Muy Malo,123
62,4820,2,Cobro/Pago (Cta externa),64,Muy Malo,340
62,4820,2,Cobro/Pago (Cta externa),65,Regular,921
62,4820,2,Cobro/Pago (Cta externa),65,Malo,785
62,4820,2,Cobro/Pago (Cta externa),66,Malo,950
62,4820,2,Cobro/Pago (Cta externa),66,Malo,277
